project	toggle	date
gitlab	ci_resource_groups	
gitlab	project_security_settings	
gitlab	country_access_logs	
gitlab	deploy_keys_projects	
gitlab	analytics_cycle_analytics_aggregations	
gitlab	p_ci_build_tags	
gitlab	ml_candidate_metrics	
gitlab	secret_rotation_infos	
gitlab	group_ssh_certificates	
gitlab	snippet_repositories	
gitlab	remote_mirrors	
gitlab	protected_environment_deploy_access_levels	
gitlab	clusters_managed_resources	
gitlab	project_compliance_violations_issues	
gitlab	project_type_ci_runners	
gitlab	ml_candidates	
gitlab	import_source_users	
gitlab	audit_events_amazon_s3_configurations	
gitlab	project_audit_events	
gitlab	related_epic_links	
gitlab	historical_data	
gitlab	dast_scanner_profiles_builds	
gitlab	dora_daily_metrics	
gitlab	group_audit_events	
gitlab	backup_finding_identifiers	
gitlab	backup_finding_flags	
gitlab	path_locks	
gitlab	issue_customer_relations_contacts	
gitlab	excluded_merge_requests	
gitlab	cluster_enabled_grants	
gitlab	p_knowledge_graph_enabled_namespaces	
gitlab	pm_licenses	
gitlab	namespace_settings	
gitlab	jira_imports	
gitlab	backup_vulnerability_issue_links	
gitlab	elastic_reindexing_subtasks	
gitlab	label_links	
gitlab	users_ops_dashboard_projects	
gitlab	organization_cluster_agent_mappings	
gitlab	sbom_occurrences_vulnerabilities	
gitlab	x509_issuers	
gitlab	group_custom_attributes	
gitlab	audit_events_streaming_group_namespace_filters	
gitlab	vulnerability_remediation_uploads	
gitlab	webauthn_registrations	
gitlab	authentication_events	
gitlab	timelog_categories	
gitlab	gitlab_subscription_histories	
gitlab	loose_foreign_keys_deleted_records	
gitlab	approval_project_rules_protected_branches	
gitlab	ci_daily_build_group_report_results	
gitlab	virtual_registries_container_registries	
gitlab	dast_site_profile_secret_variables	
gitlab	ci_job_token_group_scope_links	
gitlab	ci_cost_settings	
gitlab	packages_debian_publications	
gitlab	audit_events_instance_external_audit_event_destinations	
gitlab	agent_activity_events	
gitlab	instance_type_ci_runners	
gitlab	diff_note_positions	
gitlab	user_group_member_roles	
gitlab	abuse_report_label_links	
gitlab	compliance_management_frameworks	
gitlab	abuse_report_uploads	
gitlab	ghost_user_migrations	
gitlab	packages_debian_group_component_files	
gitlab	dingtalk_tracker_data	
gitlab	sent_notifications	
gitlab	p_ci_job_definitions	
gitlab	system_access_microsoft_applications	
gitlab	ai_agent_versions	
gitlab	issue_emails	
gitlab	p_ci_stages	
gitlab	security_scans	
gitlab	vulnerability_archive_export_uploads	
gitlab	todos	
gitlab	audit_events	
gitlab	duo_workflows_events	
gitlab	work_item_select_field_values	
gitlab	work_item_type_custom_lifecycles	
gitlab	issue_email_participants	
gitlab	merge_request_commits_metadata	
gitlab	user_preferences	
gitlab	ci_unit_test_failures	
gitlab	duo_workflows_workflows	
gitlab	namespace_descendants	
gitlab	early_access_program_tracking_events	
gitlab	packages_packages	
gitlab	packages_conan_recipe_revisions	
gitlab	bulk_import_export_uploads	
gitlab	ai_conversation_threads	
gitlab	packages_pypi_metadata	
gitlab	p_duo_workflows_checkpoints	
gitlab	merge_request_requested_changes	
gitlab	ai_code_suggestion_events	
gitlab	elastic_reindexing_slices	
gitlab	dependency_list_export_part_uploads	
gitlab	zoekt_nodes	
gitlab	ci_pending_builds	
gitlab	project_control_compliance_statuses	
gitlab	merge_requests	
gitlab	packages_debian_group_distributions	
gitlab	targeted_messages	
gitlab	users	
gitlab	bulk_import_failures	
gitlab	namespace_cluster_agent_mappings	
gitlab	oauth_device_grants	
gitlab	audit_events_streaming_instance_namespace_filters	
gitlab	ci_secure_files	
gitlab	merge_requests_approval_rules_projects	
gitlab	backup_finding_signatures	
gitlab	alert_management_alert_metric_image_uploads	
gitlab	vulnerability_finding_links	
gitlab	ml_experiments	
gitlab	packages_dependency_links	
gitlab	pool_repositories	
gitlab	vulnerability_exports	
gitlab	resource_label_events	
gitlab	incident_management_issuable_escalation_statuses	
gitlab	p_generated_ref_commits	
gitlab	analytics_devops_adoption_snapshots	
gitlab	abuse_report_assignees	
gitlab	issuable_resource_links	
gitlab	slack_integrations	
gitlab	commit_user_mentions	
gitlab	member_approvals	
